ID,q,a
763,一节1号电池能使一平方米的土地永远失去利用价值，废旧电池是有害垃圾，它的回收方式（  ）。A、放在不可利用的垃圾一起              B、放在可再利用垃圾一起           C、专门回收                            D、放垃圾箱里, C、专门回收
764,我们常说的噪声污染是指（  ）。A 、90dB以上      B、 80dB以上       C、 50dB以上      D、60dB以上, B、 80dB以上
765,下列生活习惯中，容易形成龋齿的是（  ）。A、饭后漱口，早晚刷牙             B、喜爱吃零食，多吃甜食  C、喜欢喝牛奶，多吃肉食              D、多吃含钙、磷和维生素D的食物, B、喜爱吃零食，多吃甜食 
766,大雨过后，蚯蚓常常爬到地面活动，其原因是(  )。A．洞中缺少食物　   B．洞中缺少阳光　 C．洞中缺少氧气　  D．洞中温度过低,C．洞中缺少氧气
767,假定有两种植物共同生长在一个盆中，当两种植物被分开种植时，一种死掉了，另一种生长得要好得多，请问它们之间是什么关系? （  ）A、寄生　　　　B、共生　　　　C、 自养            D、异养,A、寄生　
768,为防止我们居住环境的空气污染，净化空气最好的方法是（ ）。A、治理环境污染     B、喷洒药物        C、植树种草     D、减少排放, C、植树种草  
769,"我们的胃能够消化食物,主要靠的是(  )A、胃液的溶解作用    B、胃壁的摩擦作用  C、胃中酶对食物的分解作用     D、胃的机械搅拌作用",A、胃液的溶解作用
770,喝啤酒的突出香气是什么香？(  )A 、酒香           B 、麦芽香           C 、芝麻香       D 、稻谷香,  B 、麦芽香
771,豆科植物可通过根瘤菌固定哪种元素? (  )A、氮              B、磷                 C、钾              D、氧,A、氮
772,味精的鲜味来自谷氨酸钠，它最早发现于什么汤中?（ ）A、 鸡汤          B、海带汤              C、竹笋汤           D、鱼汤,B、海带汤     
773,下面提供的几种识别矿泉水真假的方法哪一种是错误的? （  ）A、同温下吸热速度快于自来水   B、折光率较自来水大  C、矿化度较自来水大        D、同温下吸热速度快于自来水,D、同温下吸热速度快于自来水
774,下列哪个是酒类广告中不应出现的内容? （  ）A、倡导人们适量饮酒                        B、饮酒后的表情                C、未成年人不宜饮酒                        D、驾驶汽车,    D、驾驶汽车
775,促进人体胃肠吸收钙的重要物质是：（  ）A、维生素E                               B、维生素 A                    C、维生素 C                               D、维生素D,  D、维生素D
776,在正式用餐吃面包时，应(  )。A、用嘴撕着吃                             B、用手撕着吃                 C、用刀切着吃                             D、随意吃, B、用手撕着吃   
777,在五人座的轿车上，最尊贵的座位应当是 (  )。A、副驾驶           B、后排左侧       C、后排右侧       D、后排中间座, B、后排左侧
778,穿西装时，应穿（  ）。A 、旅游鞋                             B 、皮鞋                      C 、光腿                               D 、穿肉色长筒丝袜,   B 、皮鞋  
779,下列肤色中宜穿深色服装的是 （ ）。A 、肤色偏黑       B、 肤色苍白       C、 肤色发红       D、 肤色白净, D、 肤色白净
780,发烧时不宜喝什么饮料？（  ）A、 果汁             B、开水             C、 浓茶             D、鲜奶,  C、 浓茶   
781,具有降血脂和防癌功能的植物是：（  ）A、生姜               B、葱               C、 大蒜           D、人参, C、 大蒜    
782,哪种水果可以止咳？(  )A 、梨               B 、苹果           C、橘子              D、 桃,A 、梨 
783,有的幼儿吃了很多钙片，但仍患佝偻病，主要原因是缺乏什么？（  )A、维生素C   B、 维生素E   C、维生素D   D、维生素A,C、维生素D
784,属于人类第一项伟大发明，也是第一次技术革命的是（  ）。A、弓箭的推广                          B、钻木取火                      C、制陶技术的发明                      D、青铜器的发明, B、钻木取火  
785,GPS的中文全称是什么？（ ）A、遥感技术    B、地理信息系统C、全球定位系统,C、全球定位系统
786,宇航器绕地球作圆周运动，其轨道半径等于地球半径时所具有的速度，称为（  ） 。A、光年     B、第一宇宙速度  C、第二宇宙速度    D、第三宇宙速度,B、第一宇宙速度
787,目前宇宙生物学家认可太阳系中除地球外最有可能存在生命形态的星球是（  ）。A、月球            B、火星            C、木星             D、金星,B、火星    
788,在定点同步卫星轨道上等距离分布（  ）颗通讯卫星，就能同全球进行通信。A、3颗               B、4颗               C、6颗            D、8颗,A、3颗
789,微波是指波长为（  ）的无线电波。A、10厘米-1毫米           B、100厘米-1毫米    C、50厘米-1毫米       D、100厘米-2毫米,B、100厘米-1毫米    
790,科学家用来观测粒子的“眼睛”是（  ） 。A、天文望远镜　　  B、对撞机　　      C、加速器　　      D、探测器,D、探测器
791,地球的氧气来自哪里？（  ）A 、大地       B、海洋     C、湖泊      D、植物, B、海洋 
792,高速铁路的列车行驶速度要求每小时达到（  ）。A、200公里以上     B、100公里以上   C、400公里以上　 D、500公里以上,A、200公里以上   
793,我国1988年建成的北京正一负电子对撞机是（  ） 。A、激光实验装置的  B、基因工程实验装置   C、高分子化学实验装置　 D、高能物理实验装置,D、高能物理实验装置
794,在分子生物学、生物化学和生物物理学基础上发展起来的科学领域称作（  ）。A、基因工程技术                         B、遗传工程技术                     C、基因技术                           D、生物技术革命,A、基因工程技术
795,下列我们日常生产生活所需的产品中，不属于发酵工程产品的是（  ）。A、农民自酿的米酒                      B、绝大多数农用抗生素  C、味精　                              D、维生素B2,A、农民自酿的米酒      
796,被称之为“发明之母”和“产业粮食”的技术是（  ） 。A、信息技术　　   B、生物技术　　   C、能源技术　　   D、新材料技术,D、新材料技术
797,运用试管香蕉技术来推广优良香蕉品种，这种技术属于（  ）A、基因工程　　    B、细胞工程　　    C、酶工程　　     D、发酵工程,B、细胞工程
798,细胞诱变技术属于生物技术中的（  ）A、遗传工程　　    B、细胞工程　　    C、发酵工程　　    D、基因工程, B、细胞工程
799,CAI的含义是：（  ）A、计算机应用                          B、计算机辅助教学   C、计算机辅助管理                      D、办公自动化,B、计算机辅助教学   
800,软件是由（  ）组成的。A、程序            B、语言            C、字符            D、文件,A、程序  
801,以下不属于电子计算机硬件的是（  ）A、存贮器　　        B、中央处理器　　    C、程序系统　　    D、CPU, C、程序系统
802,电子计算机里的中央处理器，其功能是（ ）A、输出数据                          B、用以存放原始数据     C、解释和执行指令　　                D、记忆装置,C、解释和执行指令　
803,清洁能源包括 (  )等。A、太阳能 核能 水能 风能             B、太阳能 水能 风能 潮夕能    C、核能 水能 风能 潮汐能             D、太阳能 热能 风能 水能,  B、太阳能 水能 风能 潮夕能 
804,下面不是造成温室效应的气体即被称为“温室气体”的是(  )。A、二氧化碳       B、甲烷           C、氯氟烃          D、一氧化碳, D、一氧化碳
805,目前，制造计算机所用的电子器件是什么？（  ）A、大规模集成电路与超大规模集成电路    B、晶体管  C、芯片                                D、    二极管,A、大规模集成电路与超大规模集成电路  
806,既是输入设备又是输出设备的是(  )A、 磁盘驱动器     B、 键盘             C、 显示器         D、 鼠标,A、 磁盘驱动器
807,用户在网上最常用的一类信息查询工具叫做什么？（  ）A、 ISP     B、 搜索引擎   C、 网络加速器     D、 离线浏览器,B、 搜索引擎 
808,发生日食是由于（ ）A、地球挡在太阳与月亮之间         B、月亮挡在地球与太阳之间   C、太阳挡在地球和月亮之间         D、太阳直射地球而被月亮挡住一部分光,B、月亮挡在地球与太阳之间
809,哈雷彗星的回归周期是（  ）A、70年             B、76年             C、75年             D、78年,  B、76年
810,为什么在运送卫星上天时，大多数火箭要向东发射？（  ）A、因为东方的阳光充足               B、因为东边的风速较小   C、因为可以利用地球自转的初速度     D、因为东边是顺风,C、因为可以利用地球自转的初速度
811,选无磷洗衣粉主要是为了什么?(  )A、保护衣物    B、防止污染  C、保护双手,B、防止污染
812,当今，工程师知识的半衰期是（  ）A、5年              B、4年              C、3年              D、8年,A、5年
813,哪个活动是近百年来全球气候变暖的主要原因(   )。A、火山活动        B、太阳活动        C、人类活动        D、月球活动,C、人类活动  
814,什么服装防晒效果最好（  ）A、深红色或藏青色                        B、浅灰色或深绿色   C、浅黄色或深蓝色                        D、淡紫色或卡其色,A、深红色或藏青色    
815,手表与下列哪些东西放在一起可能会造成走时不准？（  ）A、钥匙           B、手套           C、樟脑丸           D、手电筒,A、钥匙 
816,高速铁路的列车行驶速度要求达到每小时（  ）A、200公里以上                        B、100公里以上   C、400公里以上                        D、300公里以上,A、200公里以上  
817,科学技术的贡献超过劳力和资本，已经成为第一生产力，其三次产业所占的比重应超过：（  ）A、50%             B、40%             C、30%             D、20%,A、50%   
818,南太平洋赤道带大范围内海洋和大气团相互作用而失去平衡的气候现象叫做什么? （  ）A、厄尔尼诺现象     B、海啸             C、台风             D、洪水,A、厄尔尼诺现象    
819,海水为什么看上去是蓝色的（  ）A、蓝色是海水的固有色                 B、海水吸收的蓝色光多   C、海水反射的蓝色光多                 D、海中蓝色动物较多,C、海水反射的蓝色光多 
820,花卉的常用繁殖方法有四种，试问文竹是属于哪一种繁殖方法？（  ）A、播种繁殖       B、扦插繁殖       C、分株繁殖        D、压条繁殖,C、分株繁殖 
821,从行星起源于不同形态的物质出发，可以把九大行星分为三类：类地行星、巨行星及远日行星，下面哪种不是属于远日行星？（  ）A、天王星         B、木星           C、冥王星          D、海王星, B、木星  
822,人类的主要造血器官是：（  ）A、心脏　　　　　    B、骨髓　　　　　 C、脊髓　　　　　 D、大脑,   B、骨髓　
823,中华人民共和国科学技术普及法何时开始实施的？(  )A、2002年6月26日　B、2002年6月29日   C、2002年7月1日      D、2003年6月29日,B、2002年6月29日
824,何时美国英格伯格和德沃尔制造出世界上第一台工业机器人，机器人的历史才真正开始？(  )A、1946年    B、1950年      C、1959年, C、1959年
825,奥运五环旗中的绿色环代表哪里？(  )A、美洲  B、欧洲   C、澳洲   D、亚洲,C、澳洲
826,根据党的十六大及十六届三中、四中、五中全会精神，依照《国家中长期科学和技术发展规划纲要（2006—2020年）》，制定并实施《全民科学素质行动计划纲要（2006—2010—2020）》。(  )A、中华人民共和国宪法　 　B、中华人民共和国科学技术普及法  C、中华人民共和国民法　 　D、中华人民共和国专利法,B、中华人民共和国科学技术普及法
827,太阳光是由三部分组成，下面哪种不是太阳光的组成之一？（ ）A、可见光      B、紫外线   C、不可见光    D、红外线,C、不可见光
828,哪些因素是大气污染形成的主要原因？（）A、森林火灾   B、火山爆发  C、汽车尾气、工业废气,C、汽车尾气
829,我国的载人航天发射场是下列哪一个？( )A.酒泉      B.太原     C.山西,A.酒泉
830,目前国际公认的高技术前沿是指( )。A、航天航空技术    B、计算机与信息技术   C、生物技术        D、新材料技术,B、计算机与信息技术
831,人体需要的营养素中，在各种营养素中排行第七的 营养素是什么？( )A、脂肪    B、纤维素  C、维生素, B、纤维素
832,提高公民科学素质，对于增强公民获取和运用科技知识的能力、改善生活质量、实现全面发展，对于提高国家自主创新能力，建设(   )国家，实现经济社会全面协调可持续发展，构建社会主义和谐社会，都具有十分重要的意义。A、节约型　          B、民主法制   C、创新型            D、科技型,C、创新型     
833,我国森林覆盖率最高的省是哪个省？(  )A、浙江     B、福建   C、吉林     D、四川,B、福建
834,“百日咳”的百日是指：(   )A、病程长度      B、通常在婴儿100天时发病    C、发现这种病毒只用了100天   D、此病有100天的潜伏期,A、病程长度
835,树叶脱落前，为什么有的树叶会变红？(  )A、树叶中的叶黄素超过叶绿素    B、树叶中的类胡萝卜素超过叶绿素  C、树叶中的花青素超过叶绿素    D、树叶中的花红素超过叶绿素,C、树叶中的花青素超过叶绿素 
836,柿子不宜与什么食物同食？(  )A、红薯     B、绿豆   C、螃蟹     D、羊肉,C、螃蟹
837,“世界水日”是每年的（  ）A.3月22日     B.4月22日     C.5月22日     D.6月22日,A.3月22日  
838,大多系统环境下，操作系统分配资源以（   ）为基本单位：A.程序         B.指令         C.进程         D.作业,A.程序
839,"PCR技术扩增DNA,需要的条件是(   ) ①目的基因 ②引物 ③四种脱氧核苷酸　④DNA聚合酶等 ⑤mRNA ⑥核糖体A.①②③④　　　B.②③④⑤　　　C.①③④⑤　   D.①②③⑥",A.①②③④
840,国家公务员制度起源于？(  )A、美国雇员制    B、法国议会制   C、英国文官制    D、德国武官制,C、英国文官制   
841,《全民科学素质行动计划纲要》包括几个主要行动？(   )A、三个      B、四个  C、五个      D、六个,B、四个
842,海豚为什么要追随轮船呢？(   )A、寻求安全保障  B、可以获取食  C、借助外力游动  D、与人类嬉戏,C、借助外力游动
843,作为时尚词语的“前卫”一词，就它的本义而言， 最早出现在：(  )A、足球比赛中  B、军队行军时   C、科技论坛里, B、军队行军时
844,一天之中空气最新鲜的时间是（ ）。A、上午10点左右，下午3至4点    B、中午12点   C、早晨7点前、晚上7点前后,A、上午10点左右，下午3至4点
845,为了支持农业，政府通常对农产品制定：(   )A、限制价格     B、最低价格   C、最高价格     D、市场价格, B、最低价格 
846,南极和北极最大的不同在于什么？（ ）A、有无居民    B、生物多样性   C、永久性冻土带的存在,A、有无居民
847,世界贸易组织（简称WTO），成立于哪一年，总部设在日内瓦莱蒙湖畔的关贸总协定大楼内？( )A、1996年   B、1995年  C、1992年,B、1995年
848,水圈中主要成分是海水，占地球总水量的多少，还有极少数存在于生物体和大气中？( )A、95%    B、97%     C、96%,B、97%
849,世界野生动物基金会成立于1961年，总部设在哪儿？(  )A、瑞士    B、瑞典   C、美国,A、瑞士
850,野生老虎的寿命一般为多大？( )A、15岁    B、20岁    C、25岁,C、25岁
851,当前我们经常提到的“三农问题”是指（ ）。A、农村、农场、农民   B、农业、农村、农民   C、农业、农田、农村,B、农业、农村、农民
852,中国最大的淡水湖在哪里？(   )A、青海湖     B、洞庭湖  C、鄱阳湖      D、太湖,C、鄱阳湖
853,联合国粮农组织确定的人均耕地的警戒线是多少？( )A、0.05公顷   B、0.06 公顷   C、0.04公顷,A、0.05公顷
854,据目前的研究，下列不属于禽流感感染的渠道有： （    ）A、密切接触感染的禽类    B、受病毒污染的水  C、人与人之间传播,C、人与人之间传播
855,白色污染是指（ ）。A、所有白颜色的垃圾造成的污染  B、塑料废弃物造成的污染  C、一种白色化学气体造成的污染,B、塑料废弃物造成的污染 
856,春天快过去的时候，空中会飘飞柳絮。柳絮是指（   ）。A、柳树开出的花        B、柳树长出的纤维  C、柳树裹着绒毛的种子   D、柳树排出的废物,A、柳树开出的花
857,剖析植物生存的环境，其自然环境因子大体上有三大类下面哪种不属于其中之一的是？( )A、气候因子     B、地理条件因子   C、土壤因子     D、光照因子,D、光照因子
858,我国最大的渔场——舟山渔场位于哪个海上？( )A、东海   B、南海     C、黄海,A、东海
859,自然科学中最早出现的学科是（ ）。A、数学      B、天文学      C、医学      D、化学,B、天文学  
860,儿童夜间磨牙有多种原因，其中最主要的原因是由于（ ）。A、白天受惊    B、牙齿疾病    C、消化不良    D、肠道寄生虫病, D、肠道寄生虫病
861,世界上最大的洋流是？( )A、墨西哥湾暖流    B、佛罗里达暖流    C、西风漂流,C、西风漂流
862,我国是世界第几大能源生产和第几大能源消费国？( )A、第二   第三      B、第三   第二   C、第三   第四,B、第三   第二
863,我国重点治理的“三河”是( )。A、黄河、淮河和海河          B、黄河、淮河和辽河   C、淮河、海河和辽河          D、黄河、长江和海河, C、淮河、海河和辽河
864,肺结核的主要传播途径是（ ） 。A.经血液传播    B.经呼吸道传播   C.经消化道传播,B.经呼吸道传播  
865,在近代气象史上，危害最大的一次台风发生在１９７０年１１月１２日，是在哪个国家呢？( )A、中国    B、美国   C、孟加拉国,C、孟加拉国
866,风向是指风吹来的方向还是风吹去的方向？( )A、风吹来的方向   B、风吹去的方向,A、风吹来的方向
867,给太平洋起名的，是曾经率领船队为人类第一次闯开环绕地球航行道路的哪个国家的航海家费尔南多.麦哲伦？( )A、西班牙   B、葡萄牙    C、英国,B、葡萄牙
868,九大行星中哪个离太阳最远？( )A、水星     B、冥王星   C、土星     D、天王星,B、冥王星
869,使用哪种仪器，可以获得三维图象？( )A、扫描电子显微镜           B、透射电子显微镜   C、荧光显微镜                D、光学显微镜,A、扫描电子显微镜
870,塔里木盆地中心生长着我国古老树种“沙漠英雄”指的是什么的原始森林?(  )A、梭梭     B、胡杨      C、红柳,B、胡杨
871,世界上最小的花是什么样的花，连肉眼都看不清楚呢? ( )A、樱桃    B、无花果  C、海棠, B、无花果
872,全民科学素质行动计划纲要（2006-2010-2020年）由国务院在2006年(   )月9（ ）日发布？  (  )A、1月18日     B、2月6日    C、2月8日      D、2月16日,B、2月6日  
873,利用分子生物学基因工程技术，重组生物体的遗传密码，培育出新的动植物品种，再用这些新品种生产的食物叫做什么？( )A、绿色食品      B、无公害食品  C、转基因食品    D、有机食品,C、转基因食品
874,选无磷洗衣粉主要是为了什么?(  )A、保护衣物    B、防止污染  C、保护双手,B、防止污染
875,GPS的中文全称是什么？（  ）A、遥感技术    B、地理信息系统C、全球定位系统,C、全球定位系统
876,噪声是哪种病的祸根？(  )A、高血压    B、冠心病  C、中风,A、高血压
877,磁盘的主要作用是（    ）A.存放FAT表   B.后台运行程序   C.存储文件   D.备份程序运行的中间结果,C.存储文件
878,“地球之肾”是（    ）A.湿地         B.海洋           C.大气        D.大地,A.湿地
879,光年大约是多少天文单位？（    ）A.一万         B.三百           C.六万         D.一百万,  C.六万      
880,国际通用的星座有（    ）个A.12          B. 35            C.88           D.106,  C.88
881,缓冲技术用于（   ）A．扩充相对地址空间    B.提供主辅存接点    C.提高设备利用率       D.提高主机和设备交换住处的速度,  D.提高主机和设备交换住处的速度
882,月球和地球分别属于那种天体？（   ）A恒星，行星.     B.行星，恒星.     C.恒星，卫星 .     D.卫星，行星, D.卫星，行星
883,试管婴儿、试管苗和克隆羊三者均属于生物工程技术的杰出成果，下面叙述正确的是(  )A.都属于无性生殖能保持母本性状　B.都是细胞工程的技术范围  C.都充分体现了体细胞的全能性　　D.都不会发生基因重组和变异,B.都是细胞工程的技术范围
884,下列哪个动物没有声带（   ）A.大象    B.猴子     C.长颈鹿      D.熊猫,C.长颈鹿
885,人的一生大约要喝多少吨水？( )。A.60吨     B.70吨      C.80吨      D.90吨,C.80吨
886,按照距离太阳由近及远的次序，排列在第七位的是（  ）A.木星      B.土星      C.天王星     D.海王星,C.天王星   
887,蟋蟀是靠什么鸣出声的（  ）A.腹部伸缩挤压  B.足与草叶的摩擦  C.振翅   D.嗓子,C.振翅   
888,如果分时系统的时间片一定，那么（   ），则响应时间越长。A.用户数越少   B.用户数越多   C.内存越少   D.内存越多,B.用户数越多
889,计算机病毒的主要传播媒介是（   ）A.主机       B.显示屏      C.软盘      D.键盘,  C.软盘
890,在太阳系中，离地球最近的行星是（  ）A.金星       B.木星        C.水星       D.火星,A.金星
891,按照国务院办公厅下发的《关于限制生产销售使用塑料购物袋的通知》，2008年6月1日起，在全国范围内禁止生产、销售、使用厚度小于（   ）毫米的塑料购物袋。A．0.05       B．0.25        C．0.025      D．0.5, C．0.025
892,21世纪被认为是生物的世纪，目前基因芯片可以在很短时间内观察病变的细胞，并分析出数种由于基因突变而引起的疾病。下列与基因芯片有关的叙述中，不正确的是(  )A．利用基因芯片可以进行基因鉴定　B．基因芯片可以检测变异基因    C．基因芯片可以改造变异基因　　D．基因芯片技术能识别碱基序列,C．基因芯片可以改造变异基因　
893,2009年国际天文年的口号是（  ）A.保护夜空   B.以天会友    C.从地球到宇宙    D.探索我们的宇宙,D.探索我们的宇宙
894,手机客户身份识别卡英名缩写是（   ）A.VIP     B.SIM     C.USB     D.SVP, B.SIM
895,我国第一台激光器在下列哪座城市诞生？(   )A.北京       B.哈尔滨       C.沈阳       D.长春  ,D.长春 
896,所谓（   ）是指用户不能直接干预其作业的运行，而事先把对系统的请求用作业操作语言写成一份作业说明书，连同作业的程序和数据一起提交给任务。A.脱机用户      B.普通用户      C.联机用户      D.系统管理员,A.脱机用户
897,下列哪一种物理结构只能训序存取？（  ）A.训序文件      B.索引文件      C.链接文件      D.Hash文件,C.链接文件   
898,在下列天体中，哪个天体在夜空中看上去最暗（   ）A.土星           B.北极星        C.大角星       D.牛郎星,  B.北极星
899,小流域综合治理生态工程运用的原理包括(  )  ①物质循环再生原理　②协调与平衡原理　③整体性原理　④工程学原理⑤物种多样性原理　　A.①②③④⑤　  　B.②③④⑤　　  C.①②③④　 　D.②③④　,D.②③④　
900,以下关于试管婴儿生产技术不存在的是(   )A.体外受精        B.细胞培养     C.胚胎移植    D.基因重组,D.基因重组
901,"轮船发出六声短笛,这是表示什么呢?(  )A、倒退        B、避让       C、转弯      D、遇险",D、遇险
902,近年来，由于环境污染的日趋严重，我省沿海海域频繁发生赤潮，给渔业生产造成了严重影响。与此相反，在同样纬度的太平洋中心区域，藻类等浮游植物却十分稀少，被喻为太平洋中的“戈壁 = 荒漠”。造成这种差异的主要原因是 (   )A ．光照强弱不同 B ．水温高低不同  C ．海水含盐量不同  D ．氮、磷等元素的含量不同,D ．氮、磷等元素的含量不同
903,哈雷彗星每隔76年才光顾地球一次，上次是（   ）年。A.1968           B.1986         C.2000          D.1998,B.1986 
904,批处理系统中把一批作业安排在输入设备上，然后依次读系统进行处理，从而形成了(   )A.作业控制板      B.作业流        C.作业说明书       D.作业步,B.作业流 
905,（      ）是指把作业提交到系统的时间间隔A.响应时间        B.等待时间      C.周转时间       D.运行时间,C.周转时间  
906,根据mRNA的信息推出获取目的基因的方法是(   )A.用DNA探针测出目的基因　　　B.用mRNA探针测出目的基因    C.用mRNA反转录形成目的基因　　D.用PCR技术扩增mRNA,C.用mRNA反转录形成目的基因　
907,诺基亚公司总部设在哪个国家?(   ）A.美国     B.德国      C.芬兰       D.瑞典,C.芬兰  
908,在太阳系中质量最大的行星是（   ）A.地球          B.木星       C.土星        D.火星, B.木星
909,两次月圆之间的时间间隔大约是（   ）A.30天         B.15天       C.60天        D.365天,A.30天
910,1964年中国重大的科技成果是（  ）A.第一颗原子弹爆炸    B.第一颗人造卫星升天     C.第一颗氢弹爆炸         D.第一颗导弹发射,A.第一颗原子弹爆炸  
911,一天中，下列城市中最先迎来黎明的是（   ）A.乌鲁木齐      B.西安       C.北京       D.拉萨,C.北京
912,UNIX操作系统的文件系统是（   ）A.一级目录结构    B.二级目录结构    C.分级树形结构    D.链表结构,C.分级树形结构
913,我国“神州七号”飞船，执行出舱任务的宇航员是（   ）A.景海鹏         B.刘伯明        C.聂海胜        D.翟志刚,D.翟志刚
914,在地球上什么位置可以看到全天的恒星？（   ）A.北极           B.赤道        C.南极        D.南回归线,B.赤道 
915,青岛白天时间最短的一天是（   ）。            A. 春分日       B. 夏至日       C. 秋分日      D. 冬至日,B. 夏至日
916,山茶是什么血型？（  ）A.A型   B.B型  C.O型   D.AB型,D.AB型
917,目前国际公认的高技术前沿是指()。A、航天航空技术    B、计算机与信息技术   C、生物技术        D、新材料技术,B、计算机与信息技术 
918,我们常见的大众汽车如宝来，帕萨特上面的1.8T什么意思 ( )A 1.8L    B 1.8L机械增压    C 1.8L涡轮增压    D 1.8L电喷,C 1.8L涡轮增压
919,F1大赛中蓝旗所代表的意思 ( )A 停止比赛  B 继续比赛  C 最后一圈  D让车,D让车
920,名画《清明上河图》画的是哪个季节？( )A、春      B、夏   C、秋      D、冬,C、秋
921,下列那一项设备不合适作为共享设备（ ）A.磁盘 B.磁鼓 C.磁带机 D.光驱,C.磁带机
922,下列哪种生物不能作为生物武器  （   ）A.伤寒杆菌       B.炭疽杆菌    C.乳酸菌    D。天花病毒,C.乳酸菌  
923,两个进程争夺同一资源(  )A.一定死锁  B.不一定死锁  C.不会死锁  D.以上都不对,B.不一定死锁 
